SYS1|TMEM37,ARG2|POLB,PFKFB2|TSPYL5,MMD|SVOP,MYOM1|FAXC,ARG2|DCK,PDE4B|SOX5,APCDD1L|SOCS1,SETD7|INHBA,ARG2|BRI3BP,ARG2|VAMP4,PCSK9|RHBDF2,HS6ST2|RILPL1,ATP2A3|PON2,CHL1|PKIA
1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1
1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1
1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1
1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,1
-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1
1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1
1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1
1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1
1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1
-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1
-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1
1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1
-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1
1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1
-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1
-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1
-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1
-1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1
1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1
-1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1
-1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1
1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1
-1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1
-1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,1
-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1
-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1
-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1
1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1
1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1
1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1
1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1
1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1
-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1
-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1
-1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1
-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1
-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1
-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1
-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1
