ARG2|CUL5,TEX10|SYK,GALE|FGD6,ARG2|PLCL2,UNC5D|ZNF283,FBXL12|LPAR1,ARG2|DHRS2
-1,-1,1,-1,1,1,-1
-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1
-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1
1,-1,-1,1,1,1,1
1,-1,1,-1,1,-1,-1
1,-1,-1,1,1,1,1
1,-1,1,1,1,1,1
-1,1,-1,-1,1,1,-1
1,-1,-1,-1,-1,1,1
1,1,1,1,1,-1,1
-1,1,-1,1,1,1,1
1,1,1,1,1,-1,-1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,-1,-1
1,1,1,1,1,1,1
1,1,-1,1,-1,1,1
1,1,1,1,1,1,1
1,-1,-1,1,-1,-1,-1
1,-1,1,1,1,1,-1
1,-1,1,1,-1,1,1
1,-1,1,1,1,-1,1
1,1,1,1,1,1,-1
-1,1,-1,-1,-1,-1,1
1,-1,1,-1,1,1,-1
1,1,1,-1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,-1,1
1,-1,1,1,1,1,-1
-1,-1,-1,-1,-1,1,-1
-1,1,1,-1,1,1,-1
-1,-1,-1,-1,-1,-1,1
-1,1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,-1,1
-1,-1,1,-1,-1,-1,1
1,1,1,1,-1,-1,-1
1,-1,1,-1,1,1,-1
-1,-1,-1,-1,1,1,-1
-1,-1,1,-1,-1,1,-1
-1,-1,1,-1,1,1,-1
-1,1,-1,-1,-1,-1,1
1,-1,1,1,-1,-1,1
1,1,-1,1,1,1,1
1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,-1
1,-1,-1,1,1,-1,1
-1,-1,1,1,-1,1,1
1,1,-1,1,-1,-1,1
1,1,1,1,1,1,1
-1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1
-1,-1,1,1,-1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,-1,1,1,1,1
1,-1,1,1,1,1,-1
1,-1,1,1,1,1,-1
1,-1,1,1,1,1,-1
-1,1,-1,1,1,-1,1
1,1,-1,1,1,1,1
1,1,-1,1,1,1,1
